-------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |     Aki     |     fik     | Acc. |        Ei           Ek        |           Lower level           |           Upper level           |Type|
      Wavelength      |   (s^-1)    |             |      |       (eV)         (eV)       |---------------------------------|---------------------------------|    |
       Vac (nm)       |             |             |      |                               | Conf.                 | Term    | Conf.                 | Term    |    |
          638.6482    | 4.21e+05    | 2.57e-03    | C    |  12.90701530  -   14.84836899 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
          641.8081    | 1.16e+06    | 1.19e-02    | C    |  12.90701530  -   14.83881100 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
          653.9918    | 1.1e+05     | 7.1e-04     | D+   |  13.07571571  -   14.97152236 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
          660.6677    | 1.3e+04     | 1.2e-04     | D    |  13.09487256  -   14.97152236 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
          666.2515    | 7.8e+05     | 1.7e-03     | D    |  13.15314387  -   15.0140655  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          666.5891    | 1.5e+05     | 1.0e-03     | D+   |  13.09487256  -   14.95485204 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
          667.9126    | 2.36e+05    | 5.3e-04     | B    |  11.62359272  -   13.47988682 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  |    |
          675.4698    | 1.93e+06    | 2.20e-02    | C    |  12.90701530  -   14.74254085 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* |    |
          675.8028    | 3.6e+05     | 2.5e-03     | D+   |  13.30222747  -   15.13684847 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).5d | 2[3/2]* |    |
          676.8480    | 4.0e+05     | 1.6e-03     | D+   |  13.17177770  -   15.00356588 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          687.3185    | 2.78e+06    | 1.97e-02    | C    |  12.90701530  -   14.71089810 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* |    |
          688.1480    | 1.8e+05     | 2.1e-03     | D+   |  13.15314387  -   14.95485204 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
          689.0074    | 2.5e+05     | 3.0e-03     | D+   |  13.15314387  -   14.95260474 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
          693.9578    | 3.08e+06    | 7.41e-03    | C    |  12.90701530  -   14.6936397  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* |    |
          695.3395    | 2.2e+05     | 1.6e-03     | D    |  13.17177770  -   14.95485204 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          696.2170    | 2.4e+05     | 1.7e-03     | D    |  13.17177770  -   14.95260474 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
          696.7352    | 6.4e+06     | 2.79e-02    | B+   |  11.54835442  -   13.32785705 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  |    |
          703.2190    | 2.67e+06    | 1.41e-02    | C    |  13.07571571  -   14.83881100 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
          706.9167    | 3.8e+06     | 2.85e-02    | B    |  11.54835442  -   13.30222747 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  |    |
          707.0685    | 2.0e+06     | 9.0e-03     | D+   |  13.09487256  -   14.84836899 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          710.9437    | 4.5e+05     | 3.4e-03     | D+   |  13.09487256  -   14.83881100 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
          712.7784    | 6.0e+05     | 4.6e-03     | D+   |  13.28263902  -   15.02208834 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
          714.9012    | 6.3e+05     | 2.87e-03    | B    |  11.54835442  -   13.28263902 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  |    |
          716.0812    | 2.1e+06     | 5.4e-03     | D+   |  13.28263902  -   15.0140655  | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
          720.8966    | 2.48e+06    | 1.16e-02    | C    |  13.30222747  -   15.02208834 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          726.7174    | 1.7e+05     | 1.3e-03     | D    |  13.15314387  -   14.859230   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* |    |
          727.2667    | 1.1e+05     | 8.7e-04     | D    |  13.07571571  -   14.780512   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* |    |
          727.4940    | 1.83e+06    | 1.45e-02    | B+   |  11.62359272  -   13.32785705 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  |    |
          731.3731    | 1.7e+06     | 1.4e-02     | D+   |  13.15314387  -   14.84836899 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
          731.8021    | 9.6e+05     | 7.7e-03     | D+   |  13.32785705  -   15.02208834 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          735.2839    | 1.2e+06     | 3.2e-03     | D+   |  13.32785705  -   15.0140655  | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* |    |
          735.5319    | 9.6e+05     | 1.1e-02     | D+   |  13.09487256  -   14.780512   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* |    |
          737.4149    | 1.9e+06     | 2.0e-02     | D+   |  13.07571571  -   14.7570516  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* |    |
          738.6014    | 8.5e+06     | 1.15e-01    | B    |  11.62359272  -   13.30222747 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  |    |
          739.5016    | 7.2e+05     | 3.5e-03     | D+   |  13.17177770  -   14.84836899 | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* |    |
                      |             |             |      |                               |                       |         |                       |         |    |
          741.4379    | 3.9e+05     | 5.4e-03     | D+   |  13.28263902  -   14.95485204 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
          742.7339    | 3.1e+05     | 3.6e-03     | D    |  13.30222747  -   14.97152236 | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
