-------------------------------------------------------------------------------------------------------------------------------------------------
         Observed         |     Aki      |     fik      | Acc. |             Ei           Ek               |  Lower level  |  Upper level  |Type|
        Wavelength        |    (s^-1)    |              |      |            (eV)         (eV)              |---------------|---------------|    |
         Vac (nm)         |              |              |      |                                           | Conf.  | Term | Conf.  | Term |    |
            370.6059      | 3.9529e+06   | 1.1395e-02   | AAA  |  [20.96408688908]  -   [24.309540897300]  | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            370.6059      | 1.6470e+06   | 3.3914e-03   | AAA  |  [20.96409636464]  -   [24.309541353601]  | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
            370.6059      | 2.9644e+06   | 1.0173e-02   | AAA  |  [20.96409636464]  -   [24.309540927161]  | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
            382.06914     | 1.7876e+05   | 2.3473e-04   | AAA  |  [20.96408688908]  -   [24.209163835045]  | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
            382.06914     | 1.6087e+06   | 3.5206e-03   | AAA  |  [20.96408688908]  -   [24.209163157329]  | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
            382.06914     | 6.4353e+06   | 1.9717e-02   | AAA  |  [20.96408688908]  -   [24.209163110443]  | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            382.06914     | 2.6814e+06   | 5.8682e-03   | AAA  |  [20.96409636464]  -   [24.209163835045]  | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
            382.06914     | 4.8261e+06   | 1.7603e-02   | AAA  |  [20.96409636464]  -   [24.209163157329]  | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
            383.4642      | 9.6470e+05   | 3.5444e-03   | AAA  |  [21.2180227112]   -   [24.4512941044573] | 1s.2p  | 1P*  | 1s.10d | 1D   |    |
            387.2889      | 1.3386e+06   | 5.0168e-03   | AAA  |  [21.2180227112]   -   [24.419363117280]  | 1s.2p  | 1P*  | 1s.9d  | 1D   |    |
            388.9750      | 9.4746e+06   | 2.1491e-02   | AAA  |  [19.819614525]    -   [23.0070758719]    | 1s.2s  | 3S   | 1s.3p  | 3P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
            388.9750      | 9.4746e+06   | 3.5819e-02   | AAA  |  [19.819614525]    -   [23.00707314571]   | 1s.2s  | 3S   | 1s.3p  | 3P*  |    |
            393.7026      | 7.4475e+05   | 5.7689e-04   | AAA  |  [21.2180227112]   -   [24.3671800778]    | 1s.2p  | 1P*  | 1s.8s  | 1S   |    |
            396.58509     | 6.9507e+06   | 4.9168e-02   | AAA  |  [20.615774823]    -   [23.74207006880]   | 1s.2s  | 1S   | 1s.4p  | 1P*  |    |
            402.5110      | 1.1281e+06   | 9.1336e-04   | AAA  |  [21.2180227112]   -   [24.2982859057]    | 1s.2p  | 1P*  | 1s.7s  | 1S   |    |
            402.73292     | 3.2224e+05   | 4.7013e-04   | AAA  |  [20.96408688908]  -   [24.042663494166]  | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            402.73292     | 2.8999e+06   | 7.0514e-03   | AAA  |  [20.96408688908]  -   [24.042662321526]  | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
            402.73292     | 1.1601e+07   | 3.9492e-02   | AAA  |  [20.96408688908]  -   [24.042662242088]  | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
            402.73292     | 4.8336e+06   | 1.1753e-02   | AAA  |  [20.96409636464]  -   [24.042663494166]  | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
            402.73292     | 8.6997e+06   | 3.5257e-02   | AAA  |  [20.96409636464]  -   [24.042662321526]  | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
            412.19780     | 2.4738e+06   | 3.7808e-03   | AAA  |  [20.96408688908]  -   [23.9719714182]    | 1s.2p  | 3P*  | 1s.5s  | 3S   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            412.19780     | 1.4843e+06   | 3.7809e-03   | AAA  |  [20.96409636464]  -   [23.9719714182]    | 1s.2p  | 3P*  | 1s.5s  | 3S   |    |
