obs_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,conf_k,term_k,Type,
"609.8803","7","5.2e+05","2.9e-03",D+,"13.15314387","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).7s","2[3/2]*",,
"610.5635","10","1.21e+06","1.13e-02",C,"13.28263902","15.31272913","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5d","2[5/2]*",,
"614.5441","10","7.6e+05","6.0e-03",C,"13.30222747","15.31916801","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5d","2[5/2]*",,
"617.0174","7","5.0e+05","2.9e-03",C,"13.17177770","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).7s","2[3/2]*",,
"617.3096","10","6.7e+05","6.4e-03",C,"13.15314387","15.1610486","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5d","2[5/2]*",,
"621.2503","10","3.9e+05","3.2e-03",D+,"13.17177770","15.1669463","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5d","2[5/2]*",,
"621.5938","5","5.7e+05","3.3e-03",D+,"13.30222747","15.29629325","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5d","2[3/2]*",,
"629.6872","7","9.0e+05","8.9e-03",D+,"13.32785705","15.29629325","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).5d","2[3/2]*",,
"630.7657","15","6.0e+05","3.6e-03",D+,"13.17177770","15.13684847","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5d","2[3/2]*",,
"636.9575","7","4.2e+05","1.5e-03",D+,"13.17177770","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5d","2[1/2]*",,
"638.4717","20","4.21e+05","2.57e-03",C,"12.90701530","14.84836899","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"641.6307","70","1.16e+06","1.19e-02",C,"12.90701530","14.83881100","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"653.8112","15","1.1e+05","7.1e-04",D+,"13.07571571","14.97152236","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"660.4853","15","1.3e+04","1.2e-04",D,"13.09487256","14.97152236","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"666.0676","5","7.8e+05","1.7e-03",D,"13.15314387","15.0140655","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"666.4051","5","1.5e+05","1.0e-03",D+,"13.09487256","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"667.7282","100","2.36e+05","5.3e-04",B,"11.62359272","13.47988682","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<1/2>).4p","2[1/2]",,
"675.2834","150","1.93e+06","2.20e-02",C,"12.90701530","14.74254085","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).4d","2[3/2]*",,
"675.6163","5","3.6e+05","2.5e-03",D+,"13.30222747","15.13684847","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).5d","2[3/2]*",,
"676.6612","15","4.0e+05","1.6e-03",D+,"13.17177770","15.00356588","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[3/2]*",,
"687.1289","150","2.78e+06","1.97e-02",C,"12.90701530","14.71089810","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).4d","2[1/2]*",,
"687.9582","5","1.8e+05","2.1e-03",D+,"13.15314387","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"688.8174","10","2.5e+05","3.0e-03",D+,"13.15314387","14.95260474","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[3/2]*",,
"693.7664","50","3.08e+06","7.41e-03",C,"12.90701530","14.6936397","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).4d","2[1/2]*",,
"695.1478","7","2.2e+05","1.6e-03",D,"13.17177770","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"696.0250","7","2.4e+05","1.7e-03",D,"13.17177770","14.95260474","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[3/2]*",,
"696.5431","10000","6.4e+06","2.79e-02",B+,"11.54835442","13.32785705","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<1/2>).4p","2[1/2]",,
"703.0251","150","2.67e+06","1.41e-02",C,"13.07571571","14.83881100","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"706.7218","10000","3.8e+06","2.85e-02",B,"11.54835442","13.30222747","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<1/2>).4p","2[3/2]",,
"706.8736","100","2.0e+06","9.0e-03",D+,"13.09487256","14.84836899","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"710.7478","25","4.5e+05","3.4e-03",D+,"13.09487256","14.83881100","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"712.5820","25","6.0e+05","4.6e-03",D+,"13.28263902","15.02208834","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"714.7042","1000","6.3e+05","2.87e-03",B,"11.54835442","13.28263902","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<1/2>).4p","2[3/2]",,
"715.8839","15","2.1e+06","5.4e-03",D+,"13.28263902","15.0140655","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"720.6980","70","2.48e+06","1.16e-02",C,"13.30222747","15.02208834","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"726.5172","15","1.7e+05","1.3e-03",D,"13.15314387","14.859230","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).4d","2[3/2]*",,
"727.0664","7","1.1e+05","8.7e-04",D,"13.07571571","14.780512","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).4d","2[7/2]*",,
"727.2936","2000","1.83e+06","1.45e-02",B+,"11.62359272","13.32785705","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<1/2>).4p","2[1/2]",,
"731.1716","35","1.7e+06","1.4e-02",D+,"13.15314387","14.84836899","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"731.6005","25","9.6e+05","7.7e-03",D+,"13.32785705","15.02208834","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"735.0814","5","1.2e+06","3.2e-03",D+,"13.32785705","15.0140655","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).6s","2[1/2]*",,
"735.3293","70","9.6e+05","1.1e-02",D+,"13.09487256","14.780512","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).4d","2[7/2]*",,
"737.2118","200","1.9e+06","2.0e-02",D+,"13.07571571","14.7570516","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).4d","2[7/2]*",,
"738.3980","10000","8.5e+06","1.15e-01",B,"11.62359272","13.30222747","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<1/2>).4p","2[3/2]",,
"739.2980","20","7.2e+05","3.5e-03",D+,"13.17177770","14.84836899","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
