obs_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,conf_k,term_k,Type,
"358.7270","1*","4.5265e+05","8.7376e-04",AAA,"20.96408688908","24.419335579246","1s.2p","3P*","1s.9d","3D",,
"358.7270","1*","1.8107e+06","4.8933e-03",AAA,"20.96408688908","24.419335565023","1s.2p","3P*","1s.9d","3D",,
"358.7270","1*","7.5448e+05","1.4564e-03",AAA,"20.96409636464","24.419335779720","1s.2p","3P*","1s.9d","3D",,
"358.7270","1*","1.3580e+06","4.3690e-03",AAA,"20.96409636464","24.419335579246","1s.2p","3P*","1s.9d","3D",,
"361.3643","3","3.8022e+06","2.2343e-02",AAA,"20.615774823","24.04580040653","1s.2s","1S","1s.5p","1P*",,
"365.1990","1*","5.4136e+05","6.4983e-04",AAA,"20.96408688908","24.3581041440","1s.2p","3P*","1s.8s","3S",,
"365.1990","1*","3.2481e+05","6.4982e-04",AAA,"20.96409636464","24.3581041440","1s.2p","3P*","1s.8s","3S",,
"370.5005","3*","1.0980e+05","1.3565e-04",AAA,"20.96408688908","24.309541353601","1s.2p","3P*","1s.7d","3D",,
"370.5005","3*","9.8814e+05","2.0347e-03",AAA,"20.96408688908","24.309540927161","1s.2p","3P*","1s.7d","3D",,
"370.5005","3*","3.9529e+06","1.1395e-02",AAA,"20.96408688908","24.309540897300","1s.2p","3P*","1s.7d","3D",,
"370.5005","3*","1.6470e+06","3.3914e-03",AAA,"20.96409636464","24.309541353601","1s.2p","3P*","1s.7d","3D",,
"370.5005","3*","2.9644e+06","1.0173e-02",AAA,"20.96409636464","24.309540927161","1s.2p","3P*","1s.7d","3D",,
"381.96074","10*","1.7876e+05","2.3473e-04",AAA,"20.96408688908","24.209163835045","1s.2p","3P*","1s.6d","3D",,
"381.96074","10*","1.6087e+06","3.5206e-03",AAA,"20.96408688908","24.209163157329","1s.2p","3P*","1s.6d","3D",,
"381.96074","10*","6.4353e+06","1.9717e-02",AAA,"20.96408688908","24.209163110443","1s.2p","3P*","1s.6d","3D",,
"381.96074","10*","2.6814e+06","5.8682e-03",AAA,"20.96409636464","24.209163835045","1s.2p","3P*","1s.6d","3D",,
"381.96074","10*","4.8261e+06","1.7603e-02",AAA,"20.96409636464","24.209163157329","1s.2p","3P*","1s.6d","3D",,
"383.3554","0","9.6470e+05","3.5444e-03",AAA,"21.2180227112","24.4512941044573","1s.2p","1P*","1s.10d","1D",,
"387.1791","1","1.3386e+06","5.0168e-03",AAA,"21.2180227112","24.419363117280","1s.2p","1P*","1s.9d","1D",,
"388.8648","500*","9.4746e+06","2.1491e-02",AAA,"19.819614525","23.0070758719","1s.2s","3S","1s.3p","3P*",,
"388.8648","500*","9.4746e+06","3.5819e-02",AAA,"19.819614525","23.00707314571","1s.2s","3S","1s.3p","3P*",,
"393.5912","0","7.4475e+05","5.7689e-04",AAA,"21.2180227112","24.3671800778","1s.2p","1P*","1s.8s","1S",,
"396.47291","20","6.9507e+06","4.9168e-02",AAA,"20.615774823","23.74207006880","1s.2s","1S","1s.4p","1P*",,
"402.3973","1","1.1281e+06","9.1336e-04",AAA,"21.2180227112","24.2982859057","1s.2p","1P*","1s.7s","1S",,
"402.61914","50*","3.2224e+05","4.7013e-04",AAA,"20.96408688908","24.042663494166","1s.2p","3P*","1s.5d","3D",,
"402.61914","50*","2.8999e+06","7.0514e-03",AAA,"20.96408688908","24.042662321526","1s.2p","3P*","1s.5d","3D",,
"402.61914","50*","1.1601e+07","3.9492e-02",AAA,"20.96408688908","24.042662242088","1s.2p","3P*","1s.5d","3D",,
"402.61914","50*","4.8336e+06","1.1753e-02",AAA,"20.96409636464","24.042663494166","1s.2p","3P*","1s.5d","3D",,
"402.61914","50*","8.6997e+06","3.5257e-02",AAA,"20.96409636464","24.042662321526","1s.2p","3P*","1s.5d","3D",,
"412.08154","12*","2.4738e+06","3.7808e-03",AAA,"20.96408688908","23.9719714182","1s.2p","3P*","1s.5s","3S",,
"412.08154","12*","1.4843e+06","3.7809e-03",AAA,"20.96409636464","23.9719714182","1s.2p","3P*","1s.5s","3S",,
"414.3761","3","4.8812e+06","2.0954e-02",AAA,"21.2180227112","24.209249793955","1s.2p","1P*","1s.6d","1D",,
"416.8967","1","1.8298e+06","1.5902e-03",AAA,"21.2180227112","24.1911602752","1s.2p","1P*","1s.6s","1S",,
"438.79296","10","8.9889e+06","4.3269e-02",AAA,"21.2180227112","24.042803412125","1s.2p","1P*","1s.5d","1D",,
"443.7551","3","3.2689e+06","3.2186e-03",AAA,"21.2180227112","24.0112149898","1s.2p","1P*","1s.5s","1S",,
"447.14802","200*","6.8275e+05","1.2286e-03",AAA,"20.96408688908","23.73609263507","1s.2p","3P*","1s.4d","3D",,
"447.14802","200*","6.1440e+06","1.8427e-02",AAA,"20.96408688908","23.73609033897","1s.2p","3P*","1s.4d","3D",,
"447.14802","200*","2.4579e+07","1.0320e-01",AAA,"20.96408688908","23.73609019010","1s.2p","3P*","1s.4d","3D",,
"447.14802","200*","1.0241e+07","3.0715e-02",AAA,"20.96409636464","23.73609263507","1s.2p","3P*","1s.4d","3D",,
"447.14802","200*","1.8432e+07","9.2135e-02",AAA,"20.96409636464","23.73609033897","1s.2p","3P*","1s.4d","3D",,
"471.31457","30*","5.2894e+06","1.0575e-02",AAA,"20.96408688908","23.593958713","1s.2p","3P*","1s.4s","3S",,
"471.31457","30*","3.1736e+06","1.0575e-02",AAA,"20.96409636464","23.593958713","1s.2p","3P*","1s.4s","3S",,
"492.19313","20","1.9863e+07","1.2030e-01",AAA,"21.2180227112","23.73633503536","1s.2p","1P*","1s.4d","1D",,
"501.56783","100","1.3372e+07","1.5138e-01",AAA,"20.615774823","23.08701852960","1s.2s","1S","1s.3p","1P*",,
"504.7738","10","6.7712e+06","8.6265e-03",AAA,"21.2180227112","23.673570590","1s.2p","1P*","1s.4s","1S",,
"587.5621","500*","1.7673e+07","9.1520e-02",AAA,"20.96408688908","23.07365101981","1s.2p","3P*","1s.3d","3D",,
"587.5621","500*","7.0708e+07","5.1263e-01",AAA,"20.96408688908","23.07365070854","1s.2p","3P*","1s.3d","3D",,
"587.5621","500*","2.9462e+07","1.5257e-01",AAA,"20.96409636464","23.07365649967","1s.2p","3P*","1s.3d","3D",,
"587.5621","500*","5.3019e+07","4.5760e-01",AAA,"20.96409636464","23.07365101981","1s.2p","3P*","1s.3d","3D",,
"667.8151","100","6.3705e+07","7.1028e-01",AAA,"21.2180227112","23.07407479777","1s.2p","1P*","1s.3d","1D",,
"706.5190","200*","1.5474e+07","6.9518e-02",AAA,"20.96408688908","22.718466419","1s.2p","3P*","1s.3s","3S",,
"706.5190","200*","9.2844e+06","6.9519e-02",AAA,"20.96409636464","22.718466419","1s.2p","3P*","1s.3s","3S",,
"706.571","30","3.0948e+06","6.9528e-02",AAA,"20.96421885051","22.718466419","1s.2p","3P*","1s.3s","3S",,
"728.1349","50","1.8299e+07","4.8509e-02",AAA,"21.2180227112","22.920317359","1s.2p","1P*","1s.3s","1S",,
"921.0337","2*","2.2685e+03","2.0618e-05",AAA,"23.07365070854","24.4194247912483","1s.3d","3D","1s.9f","3F*",,
"921.0337","2*","5.1041e+05","8.3504e-03",AAA,"23.07365070854","24.4194246975540","1s.3d","3D","1s.9f","3F*",,
"921.0337","2*","4.3822e+04","5.5762e-04",AAA,"23.07365070854","24.4194246464065","1s.3d","3D","1s.9f","3F*",,
"921.0337","2*","7.9378e+04","1.0101e-03",AAA,"23.07365101981","24.4194247912483","1s.3d","3D","1s.9f","3F*",,
"921.0337","2*","3.5681e+05","6.3564e-03",AAA,"23.07365101981","24.4194246464065","1s.3d","3D","1s.9f","3F*",,
"921.0337","2*","4.2875e+05","9.0929e-03",AAA,"23.07365649967","24.4194247912483","1s.3d","3D","1s.9f","3F*",,
"952.617","3*","3.3834e+03","3.2897e-05",AAA,"23.07365070854","24.3748071255995","1s.3d","3D","1s.8f","3F*",,
"952.617","3*","7.6127e+05","1.3323e-02",AAA,"23.07365070854","24.3748069921824","1s.3d","3D","1s.8f","3F*",,
"952.617","3*","6.4641e+04","8.7991e-04",AAA,"23.07365070854","24.3748069170618","1s.3d","3D","1s.8f","3F*",,
"952.617","3*","1.1839e+05","1.6116e-03",AAA,"23.07365101981","24.3748071255995","1s.3d","3D","1s.8f","3F*",,
"952.617","3*","5.2655e+05","1.0035e-02",AAA,"23.07365101981","24.3748069170618","1s.3d","3D","1s.8f","3F*",,
"952.617","3*","6.3946e+05","1.4508e-02",AAA,"23.07365649967","24.3748071255995","1s.3d","3D","1s.8f","3F*",,
"952.927","1","5.8976e+05","1.1246e-02",AAA,"23.07407479777","24.3748073302369","1s.3d","1D","1s.8f","1F*",,
"1002.773","6*","5.4147e+03","5.8337e-05",AAA,"23.07365070854","24.3097276075680","1s.3d","3D","1s.7f","3F*",,
"1002.773","6*","1.2183e+06","2.3626e-02",AAA,"23.07365070854","24.3097274083893","1s.3d","3D","1s.7f","3F*",,
"1002.773","6*","1.8947e+05","2.8578e-03",AAA,"23.07365101981","24.3097276075680","1s.3d","3D","1s.7f","3F*",,
"1002.773","6*","1.0174e+05","1.5346e-03",AAA,"23.07365070854","24.3097272911601","1s.3d","3D","1s.7f","3F*",,
"1002.773","6*","8.2928e+05","1.7512e-02",AAA,"23.07365101981","24.3097272911601","1s.3d","3D","1s.7f","3F*",,
"1002.773","6*","1.0234e+06","2.5727e-02",AAA,"23.07365649967","24.3097276075680","1s.3d","3D","1s.7f","3F*",,
"1003.116","2","9.2892e+05","1.9629e-02",AAA,"23.07407479777","24.3097278970701","1s.3d","1D","1s.7f","1F*",,
"1091.292","12*","9.6197e+03","1.2275e-04",AAA,"23.07365070854","24.209455342828","1s.3d","3D","1s.6f","3F*",,
"1091.292","12*","3.3661e+05","6.0133e-03",AAA,"23.07365101981","24.209455342828","1s.3d","3D","1s.6f","3F*",,
"1091.292","12*","2.1644e+06","4.9712e-02",AAA,"23.07365070854","24.2094550264796","1s.3d","3D","1s.6f","3F*",,
"1091.292","12*","1.7594e+05","3.1430e-03",AAA,"23.07365070854","24.209454827529","1s.3d","3D","1s.6f","3F*",,
"1091.292","12*","1.4356e+06","3.5904e-02",AAA,"23.07365101981","24.209454827529","1s.3d","3D","1s.6f","3F*",,
"1091.305","9","1.8181e+06","5.4132e-02",AAA,"23.07365649967","24.209455342828","1s.3d","3D","1s.6f","3F*",,
"1091.710","3","1.6083e+06","4.0253e-02",AAA,"23.07407479777","24.2094557657828","1s.3d","1D","1s.6f","1F*",,
"1196.912","30","2.6084e+06","9.3420e-02",AAA,"23.0070758719","24.042662321526","1s.3p","3P*","1s.5d","3D",,
"1252.752","20","7.0932e+05","2.7830e-02",AAA,"22.718466419","23.7078912279","1s.3s","3S","1s.4p","3P*",,
"1278.479","81*","2.0331e+04","3.5606e-04",AAA,"23.07365070854","24.043155012649","1s.3d","3D","1s.5f","3F*",,
"1278.479","81*","7.1142e+05","1.7443e-02",AAA,"23.07365101981","24.043155012649","1s.3d","3D","1s.5f","3F*",,
"1278.479","81*","4.5746e+06","1.4421e-01",AAA,"23.07365070854","24.043154465835","1s.3d","3D","1s.5f","3F*",,
"1278.479","81*","3.5457e+05","8.6935e-03",AAA,"23.07365070854","24.043154084167","1s.3d","3D","1s.5f","3F*",,
"1278.479","81*","2.8980e+06","9.9476e-02",AAA,"23.07365101981","24.043154084167","1s.3d","3D","1s.5f","3F*",,
"1278.499","50","3.8426e+06","1.5703e-01",AAA,"23.07365649967","24.043155012649","1s.3d","3D","1s.5f","3F*",,
"1279.057","20","3.2475e+06","1.1157e-01",AAA,"23.07407479777","24.043155648442","1s.3d","1D","1s.5f","1F*",,
"1284.596","7*","1.5176e+06","2.2539e-02",AAA,"23.00707314571","23.9719714182","1s.3p","3P*","1s.5s","3S",,
"1284.596","7*","9.1057e+05","2.2539e-02",AAA,"23.0070758719","23.9719714182","1s.3p","3P*","1s.5s","3S",,
"1296.845","10","3.3615e+06","1.4134e-01",AAA,"23.08701852960","24.042803412125","1s.3p","1P*","1s.5d","1D",,
"1298.489","2*","2.7294e+05","2.3010e-03",AAA,"23.07365649967","24.0282324989","1s.3d","3D","1s.5p","3P*",,
"1298.489","2*","2.0466e+05","3.1057e-03",AAA,"23.07365101981","24.0282256244","1s.3d","3D","1s.5p","3P*",,
"1298.489","2*","2.2927e+05","4.1418e-03",AAA,"23.07365070854","24.0282250640","1s.3d","3D","1s.5p","3P*",,
"1298.489","2*","4.0931e+04","1.0352e-03",AAA,"23.07365101981","24.0282250640","1s.3d","3D","1s.5p","3P*",,
"1298.489","2*","6.8235e+04","1.7258e-03",AAA,"23.07365649967","24.0282256244","1s.3d","3D","1s.5p","3P*",,
"1298.489","2*","2.7294e+03","1.1505e-04",AAA,"23.07365649967","24.0282250640","1s.3d","3D","1s.5p","3P*",,
"1508.364","12","1.4057e+06","1.4392e-01",AAA,"22.920317359","23.74207006880","1s.3s","1S","1s.4p","1P*",,
"1700.247","200*","1.8358e+05","4.7763e-03",AAA,"23.00707314571","23.73609263507","1s.3p","3P*","1s.4d","3D",,
"1700.247","200*","1.6520e+06","7.1635e-02",AAA,"23.00707314571","23.73609033897","1s.3p","3P*","1s.4d","3D",,
"1700.247","200*","6.6090e+06","4.0122e-01",AAA,"23.00707314571","23.73609019010","1s.3p","3P*","1s.4d","3D",,
"1700.247","200*","2.7538e+06","1.1941e-01",AAA,"23.0070758719","23.73609263507","1s.3p","3P*","1s.4d","3D",,
"1700.247","200*","4.9562e+06","3.5819e-01",AAA,"23.0070758719","23.73609033897","1s.3p","3P*","1s.4d","3D",,
"1868.534","500*","6.1502e+04","2.3007e-03",AAA,"23.07365070854","23.737008760725","1s.3d","3D","1s.4f","3F*",,
"1868.534","500*","2.1521e+06","1.1271e-01",AAA,"23.07365101981","23.737008760725","1s.3d","3D","1s.4f","3F*",,
"1868.534","500*","1.3838e+07","9.3178e-01",AAA,"23.07365070854","23.737007692183","1s.3d","3D","1s.4f","3F*",,
"1868.534","500*","9.7644e+05","5.1138e-02",AAA,"23.07365070854","23.737006806968","1s.3d","3D","1s.4f","3F*",,
"1868.534","500*","8.0071e+06","5.8708e-01",AAA,"23.07365101981","23.737006806968","1s.3d","3D","1s.4f","3F*",,
"1869.723","200","8.9780e+06","6.5911e-01",AAA,"23.07407479777","23.737009722091","1s.3d","1D","1s.4f","1F*",,
"1908.938","100","7.1159e+06","6.4827e-01",AAA,"23.08701852960","23.73633503536","1s.3p","1P*","1s.4d","1D",,
